yr,price
1980,175.3148323
1981,157.4799338
1982,141.4593918
1983,127.0686306
1984,114.1418514
1985,102.5301223
1986,92.09966245
1987,82.73030043
1988,74.31409006
1989,66.75406656
1990,59.96312944
1991,53.86303904
1992,48.38351502
1993,43.46142675
1994,39.04006591
1995,35.06849315
1996,35.06849315
1997,35.06849315
1998,35.06849315
1999,35.06849315
2000,35.06849315
2001,35.06849315
2002,38.92248377
2003,42.77647438
2004,57.52072069
2005,97.89852737
2006,174.8749297
2007,339.0910666
2008,404.0627527
2009,131.3481838
2010,61.32936912
2011,66.74127257
2012,25.40479894
2013,15.51631304
2014,20.2752
2015,18.3281319
2016,14.66147785
2017,14.41792
2018,15.7696