year,cumCapKw,cost_per_kw,cost_per_kw_lb,cost_per_kw_ub,cost_per_kw_hist,learning,country
2006-01-01,6083000,4924.197402312044,4367.606768123238,5565.368438455734,4507.889478255928,Global,U.S.
2007-01-01,8642000,4645.8089874540065,4195.903319505654,5138.302158841397,4525.27368653285,Global,U.S.
2008-01-01,14580000,3784.6086845371224,3328.1367501254063,4312.267073081401,4046.666079654587,Global,U.S.
2009-01-01,22432000,2656.526367800311,2477.6868991350016,2847.8139285326556,2724.0707288380413,Global,U.S.
2010-01-01,38793000,1867.1005951963953,1749.6782183987584,1994.2836381436373,2027.55775845127,Global,U.S.
2011-01-01,73745000,1424.041535247785,1343.6732912696561,1511.7433267696756,1392.7082628123167,Global,U.S.
2012-01-01,104015000,1062.8217250884086,990.4272437507295,1140.026287184271,913.3154094340083,Global,U.S.
2013-01-01,139523000,868.9187065876326,788.0081367329228,955.7264353312061,878.440764377114,Global,U.S.
2014-01-01,176089000,815.3817826261021,766.1254116158791,867.1110720159885,832.4027849465667,Global,U.S.
2015-01-01,222213000,725.1289060419218,681.6946820577436,770.7105084793335,831.4159140361679,Global,U.S.
2016-01-01,296155000,618.3972030236457,578.6407153438975,660.7091979951641,642.109586308206,Global,U.S.
2017-01-01,389411000,546.747696464782,511.8146143862896,584.2428923830985,600.0040396650443,Global,U.S.
2018-01-01,488739000,501.14319480630155,464.5365760490947,540.1737189689961,535.9543779838729,Global,U.S.
2019-01-01,587134000,462.20975038457243,424.10912047439837,503.0087312122204,399.12093872332593,Global,U.S.
2020-01-01,713970000,424.0209149864825,384.36643002769824,466.8977494606871,380.81884289925705,Global,U.S.
2006-01-01,6083000,4924.197402312044,4367.606768123238,5565.368438455734,4507.889478255928,National,U.S.
2007-01-01,8387080,4707.547060173949,4250.1639753667205,5204.211106233318,4525.27368653285,National,U.S.
2008-01-01,13141940,3961.913717689865,3500.9045569523405,4490.91332368682,4046.666079654587,National,U.S.
2009-01-01,18658080,2881.29105730808,2677.5520255900915,3101.0041789807697,2724.0707288380413,National,U.S.
2010-01-01,28581280,2136.3064953421836,1963.7925211119957,2325.1760693575047,2027.55775845127,National,U.S.
2011-01-01,46450080,1745.9547013260544,1652.773893718383,1846.1428356894778,1392.7082628123167,National,U.S.
2012-01-01,59639940,1358.2049727639196,1217.4040097769698,1513.354155381217,913.3154094340083,National,U.S.
2013-01-01,72292590,1161.130301600299,1005.5628439741506,1341.3543042108133,878.440764377114,National,U.S.
2014-01-01,82743390,1137.569497401963,1022.0658697731653,1265.7629987688642,832.4027849465667,National,U.S.
2015-01-01,91196990,1073.873381978567,962.264694310228,1197.90430325909,831.4159140361679,National,U.S.
2016-01-01,101947790,989.6226309977163,874.6136939154123,1119.691735261903,642.109586308206,National,U.S.
2017-01-01,108423390,960.7623276085196,850.7757182499892,1084.911000823945,600.0040396650443,National,U.S.
2018-01-01,114542190,950.128296817862,851.7116677849951,1058.363697303689,535.9543779838729,National,U.S.
2019-01-01,123004390,920.7334628239363,829.2145680438922,1020.0934547133305,399.12093872332593,National,U.S.
2020-01-01,137264990,877.2623593020284,795.8745300098775,964.2671472765886,380.81884289925705,National,U.S.
2007-01-01,8642000,5126.899541562037,4424.427455427782,5929.979670739609,4791.630690539997,Global,China
2008-01-01,14580000,4330.565795973992,3636.275313814336,5145.223808791918,4371.216391512918,Global,China
2009-01-01,22432000,2752.1627877960364,2476.3351715474146,3055.019352876272,2815.856578354286,Global,China
2010-01-01,38793000,1748.0339973374134,1573.3336111735941,1941.175384932345,1944.0384751031488,Global,China
2011-01-01,73745000,1296.8051917865985,1197.0137451662044,1403.1309418991757,1409.7160008781568,Global,China
2012-01-01,104015000,899.9853100354608,811.5832158337375,997.312702415776,722.0354160589023,Global,China
2013-01-01,139523000,708.3761886162081,615.721002204164,812.591744159177,658.6703461361276,Global,China
2014-01-01,176089000,654.3387181077069,600.8191274837809,710.97057970087894,624.2912933147696,Global,China
2015-01-01,222213000,551.5087394070761,508.57994195631835,597.9816606706893,580.066507732002,Global,China
2016-01-01,296155000,424.2273601015339,388.7352709249398,462.76894225604553,487.8714957027314,Global,China
2017-01-01,389411000,356.07527846527796,325.8900296120349,389.07998956862446,449.4695629089042,Global,China
2018-01-01,488739000,326.1486199781856,293.03197643162093,362.16850664575776,306.34869474118113,Global,China
2019-01-01,587134000,281.3813414749905,248.19979725522154,317.752337515192,256.4493324863248,Global,China
2020-01-01,713970000,252.15558589220794,217.85605796519482,291.3205024393358,230.20327988376587,Global,China
2007-01-01,8642000,5126.899541562037,4424.427455427782,5929.979670739609,4791.630690539997,National,China
2008-01-01,13990200,4432.536240383897,3734.085586402256,5251.091801945355,4371.216391512918,National,China
2009-01-01,20303800,2911.2091429396505,2609.406302121644,3247.219531492677,2815.856578354286,National,China
2010-01-01,31906500,1951.5796514135477,1719.7036615640704,2211.650081053925,1944.0384751031488,National,China
2011-01-01,53957700,1546.4846003529728,1432.1639016816657,1671.3711894153978,1409.7160008781568,National,China
2012-01-01,70872700,1117.2318950641848,964.6009261349092,1290.9121283074783,722.0354160589023,National,China
2013-01-01,91483900,898.6183805697432,743.1074420650535,1083.903553010728,658.6703461361276,National,China
2014-01-01,109901700,853.4741460047834,751.2697550048265,968.8583759201821,624.2912933147696,National,China
2015-01-01,131246500,742.0632860163746,656.2000638616983,837.8042362493707,580.066507732002,National,China
2016-01-01,169735700,580.5643608130251,511.33290107652283,657.7442128596847,487.8714957027314,National,China
2017-01-01,222655700,487.94762941610395,439.85422357892725,540.6897247925385,449.4695629089042,National,China
2018-01-01,266655700,458.8993913806155,421.26491069563696,499.6080746000671,306.34869474118113,National,China
2019-01-01,291655700,417.4065723769221,383.983369150227,453.50135076959674,256.4493324863248,National,China
2020-01-01,331655700,388.4617784500303,357.14606755875747,421.9939721110896,230.20327988376587,National,China
2006-01-01,6083000,2554.157354148326,2290.463007937251,2849.507780418877,2632.0296705509604,Global,Germany
2007-01-01,8642000,2399.9117377227694,2183.790814163614,2634.7417064942865,2281.5873653984213,Global,Germany
2008-01-01,14580000,1954.7543710025298,1730.8256999314,2207.592592136435,2035.4349986027464,Global,Germany
2009-01-01,22432000,1415.6338405191962,1328.6230198761857,1508.2107668820197,1391.1979221690451,Global,Germany
2010-01-01,38793000,1059.3141126886026,999.0015294607972,1123.0032223272028,1246.7483343508613,Global,Germany
2011-01-01,73745000,832.2942125170067,787.3505404221198,879.635877051149,752.4045796614877,Global,Germany
2012-01-01,104015000,657.3094061322107,616.3166399529484,700.4582175262685,574.0841952890495,Global,Germany
2013-01-01,139523000,521.0599943677742,477.095775954039,568.9485689832076,510.4885665175802,Global,Germany
2014-01-01,176089000,510.3946495439049,482.5380873065372,540.0058540746031,474.62875773462105,Global,Germany
2015-01-01,222213000,554.931437451644,525.116096989561,587.1592132284713,557.4032716723159,Global,Germany
2016-01-01,296155000,483.0556330070093,454.8615516170348,513.3008414002866,537.8459175735085,Global,Germany
2017-01-01,389411000,431.29405001174257,406.0959820971008,458.21175296668724,463.0767727204072,Global,Germany
2018-01-01,488739000,390.2718087419049,364.02404736764623,417.38038800333356,381.824354842492,Global,Germany
2019-01-01,587134000,388.0351778820261,358.3832873529031,419.35182278959815,360.6319947333774,Global,Germany
2020-01-01,713970000,357.1379195256711,326.191578938663,390.1407638825093,384.57277812619515,Global,Germany
2006-01-01,6083000,2554.157354148326,2290.463007937251,2849.507780418877,2632.0296705509604,National,Germany
2007-01-01,8513200,2411.705924766159,2194.9042255332156,2646.885925447434,2281.5873653984213,National,Germany
2008-01-01,13653600,1997.1013277987076,1774.5661513733878,2249.726004946172,2035.4349986027464,National,Germany
2009-01-01,20483200,1458.266686245707,1367.2492950372462,1555.2753333159155,1391.1979221690451,National,Germany
2010-01-01,33095000,1115.7029158000335,1042.6561517340444,1192.4286316594205,1246.7483343508613,National,Germany
2011-01-01,54753000,917.271931740058,873.875808223286,963.1562360046299,752.4045796614877,National,Germany
2012-01-01,71757600,742.0048303981348,680.3527146679611,809.0808856132016,574.0841952890495,National,Germany
2013-01-01,84253100,614.3349892832208,544.0927003014489,694.7291251292223,510.4885665175802,National,Germany
2014-01-01,92518300,629.7342119449803,575.7620721237641,688.9728521609139,474.62875773462105,National,Germany
2015-01-01,98322300,724.1853114546946,658.3681473958113,796.9297225819264,557.4032716723159,National,Germany
2016-01-01,99777300,689.0524921054302,613.8321230340796,773.6366962709412,537.8459175735085,National,Germany
2017-01-01,101391300,669.2181918760168,596.0150070503216,751.8270252566499,463.0767727204072,National,Germany
2018-01-01,104256300,646.2840555471388,581.6947410886601,718.5118552905593,381.824354842492,National,Germany
2019-01-01,108145300,674.1269955735681,608.1471399793418,747.8192441196056,360.6319947333774,National,Germany
2020-01-01,112881300,652.1704584231934,589.8928354906594,721.2875129881919,384.57277812619515,National,Germany
